Date,Open,High,Low,Close,Volume
2025-12-24,1565.46,1568.45,1546.45,1551.03,8815745
2025-12-26,1547.54,1553.82,1547.15,1552.02,2311495
2025-12-29,1547.74,1550.93,1536.5,1538.49,5972105
2025-12-30,1539.88,1546.45,1530.72,1532.71,8815884
2025-12-31,1533.91,1569.74,1533.91,1563.17,5771830
2026-01-01,1566.46,1585.17,1563.87,1568.35,6408128
2026-01-02,1572.73,1587.26,1570.94,1584.97,6602230
2026-01-05,1585.67,1604.38,1568.05,1570.84,8704973
2026-01-06,1561.78,1561.78,1489.41,1500.66,27417125
2026-01-07,1503.05,1513.0,1491.11,1497.28,11199340
2026-01-08,1493.1,1496.98,1462.04,1463.83,16518684
2026-01-09,1458.26,1473.09,1458.26,1468.51,8335311
2026-01-12,1468.51,1478.46,1444.32,1476.37,8883745
2026-01-13,1478.17,1478.96,1438.05,1446.11,13499760
2026-01-14,1437.35,1460.25,1433.57,1452.09,8321764
2026-01-15,1452.09,1452.09,1452.09,1452.09,0
2026-01-16,1452.09,1473.19,1448.4,1451.19,17167161
2026-01-19,1443.92,1443.92,1396.84,1407.09,20392765
2026-01-20,1404.21,1409.48,1383.6,1387.58,13189498
2026-01-21,1383.11,1406.4,1366.68,1398.14,17352720
2026-01-22,1403.61,1412.97,1388.58,1396.05,15721693
2026-01-23,1395.35,1400.52,1374.64,1379.72,9837802
2026-01-27,1373.65,1385.2,1361.7,1374.15,26302396
2026-01-28,1378.63,1403.41,1378.53,1390.27,11121657
2026-01-29,1396.44,1396.44,1377.63,1384.6,20846683
2026-01-30,1376.24,1391.57,1372.16,1388.98,11239835
2026-02-02,1333.83,1386.49,1329.35,1384.0,15711165
2026-02-03,1467.12,1482.64,1423.62,1430.49,25456171
2026-02-04,1437.35,1457.26,1433.67,1450.1,8333387
2026-02-05,1450.29,1454.77,1432.88,1436.76,11763658
2026-02-06,1434.87,1446.11,1426.9,1444.12,8277304
2026-02-09,1451.29,1459.15,1446.31,1454.87,5775864
2026-02-10,1464.23,1464.23,1445.52,1451.79,10259630
2026-02-11,1452.88,1463.23,1446.91,1461.94,7106877
2026-02-12,1463.23,1466.22,1438.85,1442.23,11135399
2026-02-13,1438.85,1444.02,1409.78,1413.07,10755693
2026-02-16,1413.56,1432.97,1402.81,1430.49,5896514
2026-02-17,1424.51,1425.21,1412.07,1416.45,10731630
2026-02-18,1420.43,1435.46,1412.67,1434.67,5521096
2026-02-19,1436.36,1436.36,1393.56,1403.01,11884664
2026-02-20,1403.01,1420.83,1399.63,1412.87,8177670
2026-02-23,1418.44,1428.3,1411.77,1421.43,7758856
2026-02-24,1418.74,1426.7,1408.49,1422.22,12529409
2026-02-25,1428.4,1433.87,1387.09,1392.06,10728792
2026-02-26,1392.06,1406.4,1385.49,1400.33,16683858
2026-02-27,1391.57,1403.91,1381.71,1387.48,12031440
2026-03-02,1369.17,1372.26,1335.33,1351.75,23728722
2026-03-04,1323.88,1346.57,1300.98,1338.81,32495007
2026-03-05,1346.87,1392.56,1346.87,1383.01,25957532
2026-03-06,1390.07,1417.74,1383.9,1398.33,19311971
2026-03-09,1368.67,1422.82,1363.69,1417.45,24870822
2026-03-10,1424.02,1424.91,1394.15,1402.32,18071259
2026-03-11,1418.34,1427.4,1377.23,1383.8,21848087
2026-03-12,1383.6,1404.41,1374.74,1385.79,20939959
2026-03-13,1378.82,1394.35,1372.06,1374.35,17265090
2026-03-16,1373.65,1390.87,1357.22,1388.68,22837802
2026-03-17,1392.56,1399.43,1381.81,1391.17,19007744
2026-03-18,1390.77,1406.4,1390.77,1401.62,9559327
2026-03-19,1381.61,1409.18,1369.77,1378.43,16498373
2026-03-20,1391.57,1423.42,1389.67,1407.89,22994918
2026-03-23,1393.56,1409.08,1384.6,1401.32,18979554
2026-03-24,1413.46,1415.85,1400.13,1405.3,18620893
2026-03-25,1413.46,1423.92,1401.92,1406.6,19041331
2026-03-27,1394.55,1398.24,1338.81,1341.9,23266517
2026-03-30,1328.86,1358.72,1327.96,1337.71,24393861
2026-04-01,1377.83,1378.03,1356.63,1362.9,14404619
2026-04-02,1350.75,1351.95,1321.89,1344.28,21280051
2026-04-06,1352.75,1352.75,1284.06,1298.7,29274881
2026-04-07,1289.04,1302.28,1285.06,1298.6,28388922
2026-04-08,1342.79,1344.38,1320.1,1341.6,21817543
2026-04-09,1339.81,1343.79,1320.2,1323.88,20725390
2026-04-10,1330.85,1346.08,1325.37,1343.99,19364461
2026-04-13,1315.12,1321.49,1303.97,1309.05,28753269
2026-04-15,1330.85,1340.8,1328.06,1337.91,15313779
2026-04-16,1345.78,1347.57,1323.88,1337.12,30211012
2026-04-17,1333.83,1362.1,1333.83,1358.72,13869105
2026-04-20,1356.93,1366.68,1346.57,1357.03,13614733
2026-04-21,1352.75,1363.5,1343.89,1347.07,27293629
2026-04-22,1344.09,1359.71,1342.89,1355.83,9525953
2026-04-23,1339.81,1349.26,1334.53,1337.22,16385079
2026-04-24,1333.83,1339.71,1318.9,1321.69,11744802
2026-04-27,1306.96,1365.29,1304.97,1359.51,24673098
2026-04-28,1351.75,1388.78,1350.75,1382.51,41027699
2026-04-29,1385.59,1427.2,1384.9,1418.84,30542143
2026-04-30,1402.52,1430.39,1386.69,1424.22,30957881
2026-05-01,1424.22,1424.22,1424.22,1424.22,0
2026-05-04,1426.8,1460.65,1426.8,1456.37,24035700
2026-05-05,1453.28,1466.62,1443.33,1456.86,23543341
2026-05-06,1456.27,1466.52,1420.93,1431.28,14221786
2026-05-07,1432.18,1442.83,1423.72,1429.59,19816903
2026-05-08,1419.44,1436.16,1410.98,1428.59,8663105
2026-05-11,1413.46,1421.43,1375.64,1381.81,15261787
2026-05-12,1385.59,1387.09,1354.04,1357.72,24357500
2026-05-13,1355.13,1366.08,1346.18,1352.55,13797989
2026-05-14,1358.92,1371.66,1352.15,1355.53,17303059
2026-05-15,1350.56,1358.52,1323.08,1330.25,19976192
2026-05-18,1327.86,1335.82,1312.63,1329.75,13022473
2026-05-19,1332.54,1337.81,1312.33,1316.61,21665501
2026-05-20,1312.63,1356.63,1306.56,1353.44,13248515
2026-05-21,1360.91,1364.59,1339.01,1343.39,17150630
2026-05-22,1343.79,1361.11,1342.89,1348.27,7105813
2026-05-25,1360.51,1364.79,1350.75,1360.71,6750071
2026-05-26,1353.84,1362.2,1346.18,1350.06,13769747
2026-05-27,1346.77,1354.74,1342.39,1344.28,13215138
2026-05-28,1344.28,1344.28,1344.28,1344.28,0
2026-05-29,1357.72,1362.7,1310.94,1315.12,42634247
2026-06-01,1326.37,1329.35,1312.43,1313.92,10700603
2026-06-02,1301.68,1321.69,1294.32,1308.55,23302785
2026-06-03,1308.95,1317.91,1295.01,1307.16,20012293
2026-06-04,1295.01,1305.17,1287.15,1297.7,23474327
2026-06-05,1304.5,1306.0,1288.0,1291.0,17785223
2026-06-08,1277.0,1282.6,1259.2,1263.3,16494759
2026-06-09,1269.0,1274.2,1257.5,1269.2,23620214
2026-06-10,1275.0,1300.5,1254.4,1258.8,21012796
2026-06-11,1258.0,1276.0,1253.2,1263.0,13117486
2026-06-12,1277.0,1297.0,1262.5,1293.0,11988785
2026-06-15,1315.3,1325.0,1303.3,1307.0,18633321
2026-06-16,1313.4,1333.4,1306.4,1328.8,18513223
2026-06-17,1333.0,1334.0,1317.0,1332.7,10029170
2026-06-18,1330.0,1333.9,1322.0,1328.1,15494549
2026-06-19,1328.0,1338.2,1305.3,1309.5,24887034
2026-06-22,1316.7,1344.9,1314.1,1326.5,12931213
2026-06-23,1328.9,1333.0,1304.0,1309.5,15400184
2026-06-24,1305.7,1322.0,1297.5,1313.6,11030917
