Universe ranked by 20-day return (strongest first):
       symbol     close  rsi14  ret_20d_%
1        SBIN   1023.60   55.3       5.57
2    AXISBANK   1358.00   63.9       3.57
3          LT   4169.80   60.7       3.38
4   ICICIBANK   1335.50   60.5       3.38
5   KOTAKBANK    401.90   60.9       2.30
6      MARUTI  13430.00   53.8       1.97
7    HDFCBANK    772.90   50.9      -1.77
8         ITC    290.00   50.6      -1.99
9    RELIANCE   1306.00   45.6      -4.46
10       INFY   1029.00   32.3     -10.04
11        TCS   2060.00   31.7     -10.75
12      WIPRO    174.39   30.6     -15.69
