NIFTY30JUN26FUT
DATE             CLOSE           OI   POSITIONING
2026-06-15     23916.6     17817930   Short covering (bears exit)
2026-06-16     24001.0     17180800   Short covering (bears exit)
2026-06-17     24094.0     16807115   Short covering (bears exit)
2026-06-18     24192.5     16511170   Short covering (bears exit)
2026-06-19     24056.9     16483480   Long unwinding (bulls exit)
2026-06-22     24123.8     16090685   Short covering (bears exit)
2026-06-23     23852.5     15876575   Long unwinding (bulls exit)
2026-06-24     24053.6     15404350   Short covering (bears exit)

Rising price + rising OI = new money backing the move. Falling OI = positions closing.
