step event                       bid     x  |  ask     x       spread
   1 add b1 B 811.95x500      811.95   500  |  -       0            -
   2 add a1 S 812.15x400      811.95   500  |  812.15  400       0.20
   3 add b2 B 812.00x300      812.00   300  |  812.15  400       0.15
   4 add a2 S 812.05x250      812.00   300  |  812.05  250       0.05
   5 add a3 S 812.10x600      812.00   300  |  812.05  250       0.05
   6 modify b2 qty->700       812.00   700  |  812.05  250       0.05
   7 trade B 200              812.00   700  |  812.05  50        0.05
   8 add a4 S 812.05x150      812.00   700  |  812.05  200       0.05
   9 trade B 200              812.00   700  |  812.10  600       0.10
  10 cancel a1                812.00   700  |  812.10  600       0.10
  11 add b3 B 812.05x400      812.05   400  |  812.10  600       0.05
  12 trade S 300              812.05   100  |  812.10  600       0.05
  13 trade S 100              812.00   700  |  812.10  600       0.10
  14 cancel b1                812.00   700  |  812.10  600       0.10
  15 add a5 S 812.05x350      812.00   700  |  812.05  350       0.05
  16 trade B 700              812.00   700  |  812.10  250       0.10

Reconstruction demo: replayed 16 events; final top of book bid 812.00 x700 / ask 812.10 x250, spread 0.10.
